Date,S&P500_Close,S&P500_Open,S&P500_High,S&P500_Low,S&P500_Change_%,VIX_Open,VIX_High,VIX_Low,VIX_Close,Crypto_Volume,Crypto_Market_Cap,Year,Month,Day,DayOfWeek,IsWeekend,Market_Cap_STD,SP500_EMA,SP500_SMA_20,SP500_SMA_50,SP500_SMA_100,Lagged_VIX_Close,Lagged_S&P500_Close,Crypto_Market_Cap_%,Crypto_Volume_Change_%
2018-06-25,2717.1,2742.9,2742.9,2698.7,-1.37,15.07,19.61,14.56,17.33,9306944124.97974,199185085986.40927,2018,6,25,0,False,11153969201.22616,2752.576012314819,2769.05,2739.5,2695.552,13.77,2754.9,2.2617478119986822,20.153190899574657
2018-06-26,2723.1,2722.1,2732.9,2715.6,0.22,16.71,17.54,15.1,15.92,7740511275.095306,198519309591.5908,2018,6,26,1,False,11821411991.556488,2746.680809851855,2766.5899999999997,2740.51,2695.2630000000004,17.33,2717.1,-0.3342501229554484,-16.830796756156996
2018-06-27,2699.6,2728.4,2746.1,2699.4,-0.86,16.52,18.19,14.76,17.91,7507669264.226274,193543058000.0193,2018,6,27,2,False,12731291511.96727,2737.264647881484,2763.05,2741.0640000000003,2695.13,15.92,2723.1,-2.506683909897245,-3.008096010636785
2018-06-28,2716.3,2698.7,2724.3,2692.0,0.62,17.54,18.99,16.4,16.85,5803362924.104777,193842778390.263,2018,6,28,3,False,11885833203.129707,2733.0717183051875,2759.915,2741.434,2695.124,17.91,2699.6,0.15485979881730838,-22.70087133755937
2018-06-29,2718.4,2727.1,2743.3,2718.0,0.08,15.73,16.51,14.66,16.09,5674877120.731718,186611322287.99536,2018,6,29,4,False,11043931706.39784,2730.1373746441504,2756.885,2741.34,2695.1890000000003,16.85,2716.3,-3.7305780294319635,-2.213988769156283
2018-06-30,2718.4,2727.1,2743.3,2718.0,0.08,15.73,16.51,14.66,16.09,7481088038.250896,200841910929.45084,2018,6,30,5,True,6617571214.846269,2727.7898997153206,2753.8550000000005,2741.1540000000005,2695.9359999999997,16.09,2718.4,7.6257905827887384,31.828194321964197
2018-07-01,2718.4,2727.1,2743.3,2718.0,0.08,15.73,16.51,14.66,16.09,6758456648.27576,201343831295.92487,2018,7,1,6,True,4867525915.758825,2725.9119197722566,2750.675,2740.968,2697.237,16.09,2718.4,0.24990818109191792,-9.659442400360929
2018-07-02,2726.7,2704.9,2727.3,2698.9,0.31,17.7,18.08,15.54,15.6,7416450240.462281,204824846687.3642,2018,7,2,0,False,5439283367.207066,2726.0695358178054,2747.67,2740.9480000000003,2698.6210000000005,16.09,2718.4,1.7288910065107022,9.735855779357427
2018-07-03,2713.2,2733.3,2736.6,2711.2,-0.5,15.37,16.45,14.68,16.14,9555467093.08471,211130037294.4948,2018,7,3,1,False,7070393212.328299,2723.4956286542442,2744.55,2740.61,2699.87,15.6,2726.7,3.0783328825113587,28.841518290684288
2018-07-04,2713.2,2733.3,2736.6,2711.2,-0.5,15.37,16.45,14.68,16.14,8861316837.12765,209478167255.58344,2018,7,4,2,False,7910102771.681367,2721.4365029233954,2741.085,2740.646,2700.4159999999997,16.14,2713.2,-0.782394613328874,-7.264430395657129
2018-07-05,2736.6,2724.2,2737.8,2716.0,0.86,15.62,16.22,14.47,14.97,8723761949.129715,209844203439.28314,2018,7,5,3,False,8519704666.114162,2724.4692023387165,2738.93,2740.9280000000003,2701.6560000000004,16.14,2713.2,0.1747371520837815,-1.5523075241097195
2018-07-06,2759.8,2737.7,2764.4,2733.5,0.85,14.99,15.45,13.34,13.37,8676902277.208288,207233197144.35587,2018,7,6,4,False,8182457248.3101845,2731.5353618709732,2737.935,2741.722,2703.204,14.97,2736.6,-1.2442594325378864,-0.5371498236044991
2018-07-07,2759.8,2737.7,2764.4,2733.5,0.85,14.99,15.45,13.34,13.37,8369901043.137306,207751914324.14572,2018,7,7,5,True,7571064303.64428,2737.188289496779,2736.94,2742.6580000000004,2704.393,13.37,2759.8,0.25030602574187544,-3.5381432712154104
2018-07-08,2759.8,2737.7,2764.4,2733.5,0.85,14.99,15.45,13.34,13.37,8446586358.718564,213642550064.44965,2018,7,8,6,True,4324573487.535242,2741.7106315974233,2736.2400000000002,2743.594,2705.5819999999994,13.37,2759.8,2.8354182725426336,0.9162033718921103
2018-07-09,2784.2,2768.5,2784.7,2768.5,0.88,13.42,13.45,12.6,12.69,8289936221.387735,211863660592.94852,2018,7,9,0,False,3779568039.361992,2750.208505277939,2737.32,2745.0180000000005,2707.015,13.37,2759.8,-0.8326475559126689,-1.8545970014162472
2018-07-10,2793.8,2788.6,2795.6,2786.2,0.34,12.52,13.21,11.93,12.64,8073930509.823052,202012486761.46564,2018,7,10,1,False,3623145705.688431,2758.9268042223516,2738.645,2746.2340000000004,2708.544,12.69,2784.2,-4.649770424957323,-2.605637797398197
2018-07-11,2774.0,2779.8,2785.9,2770.8,-0.71,14.05,14.15,13.09,13.63,7353896795.5859995,197378059971.53812,2018,7,11,2,False,5137686832.144916,2761.9414433778816,2739.8550000000005,2747.2260000000006,2710.465,12.64,2793.8,-2.294128875013457,-8.918007324450372
2018-07-12,2798.3,2783.1,2799.2,2781.5,0.88,13.07,13.33,12.42,12.58,6280777013.353497,193758521624.55872,2018,7,12,3,False,6747490066.558639,2769.2131547023055,2742.025,2748.526,2712.304,13.63,2774.0,-1.8338098710167339,-14.59253253155004
2018-07-13,2801.3,2796.9,2804.5,2791.7,0.11,12.39,12.97,11.62,12.18,6975470092.748749,194843248454.0273,2018,7,13,4,False,7495275601.347238,2775.630523761845,2744.3450000000003,2749.9960000000005,2713.87,12.58,2798.3,0.5598343857982302,11.060623198662721
2018-07-14,2801.3,2796.9,2804.5,2791.7,0.11,12.39,12.97,11.62,12.18,6604952684.48645,194543006188.3053,2018,7,14,5,True,7799154452.889906,2780.764419009476,2746.665,2751.5959999999995,2715.255,12.18,2801.3,-0.15409426197944276,-5.311719544858562
2018-07-15,2801.3,2796.9,2804.5,2791.7,0.11,12.39,12.97,11.62,12.18,6078399332.874738,197833805724.68762,2018,7,15,6,True,7723893291.386333,2784.871535207581,2750.875,2753.1960000000004,2717.223,12.18,2801.3,1.6915537601989383,-7.9720987683752575
2018-07-16,2798.4,2801.4,2803.7,2793.4,-0.1,12.46,12.97,12.13,12.83,8429854077.707029,205070147520.92172,2018,7,16,0,False,7501703813.235348,2787.5772281660647,2754.6400000000003,2754.7380000000003,2719.1620000000003,12.18,2801.3,3.657788298479403,38.68542713399166
2018-07-17,2809.6,2789.3,2814.2,2789.2,0.4,12.91,13.18,11.85,12.06,9668509969.793673,215142960854.9383,2018,7,17,1,False,7822203495.8494835,2791.981782532852,2760.1400000000003,2756.5040000000004,2721.2129999999997,12.83,2798.4,4.911886715734148,14.693681298259964
2018-07-18,2815.6,2811.3,2816.8,2805.9,0.21,11.87,12.47,11.44,12.1,11495628904.615534,229721134106.12158,2018,7,18,2,False,11975353656.405235,2796.7054260262817,2765.105,2759.018,2723.237,12.06,2809.6,6.776040077375689,18.897626837332115
