Date,Crypto_Volume,Crypto_Market_Cap
2019-03-22,14582504368.859129,115279184312.51799
2019-03-23,13898704417.110785,115819414043.35304
2019-03-24,13888539542.004736,115921845290.68086
2019-03-25,14231641772.389484,115198942411.55762
2019-03-26,15144204316.793509,114011430488.06581
2019-03-27,18368343896.641632,116636551887.44818
2019-03-28,18237797109.4557,117378903893.87329
2019-03-29,17418309207.640076,118465500050.39424
2019-03-30,17733814444.74003,119864132902.78143
2019-03-31,15227511451.871765,120487367495.51634
2019-04-01,16131236665.294052,121438812362.7709
2019-04-02,28044372852.775455,132590883908.7407
2019-04-03,41655520307.20203,144125414518.42126
2019-04-04,40718095703.6934,141258073354.61374
2019-04-05,30958869389.86497,142793524588.79605
2019-04-06,25772298600.166996,144614090349.5901
2019-04-07,28706423112.258774,147246327729.90546
2019-04-08,31470727675.3533,150454390647.52228
2019-04-09,28549930748.86199,149203108658.09296
2019-04-10,25973813253.156273,150946750990.57294
2019-04-11,29658338437.07728,144792480427.6578
2019-04-12,27197080878.532593,142431356207.38724
2019-04-13,22066539704.484154,143595728798.83502
2019-04-14,18786982783.40368,143520084689.99783
2019-04-15,21569067630.28807,145022525835.9695
2019-04-16,21371986652.524426,144062188252.45
2019-04-17,21233573279.551636,146841317505.96744
2019-04-18,22009398255.59633,148551009443.61487
2019-04-19,21706863076.00927,148418562621.74722
2019-04-20,22548193891.018364,149696753933.75317
2019-04-21,23230682694.18593,148221806912.59927
2019-04-22,24024629211.72792,148594941345.44827
2019-04-23,26939700536.357567,152888903865.6896
2019-04-24,28864736535.78671,149526421112.8416
2019-04-25,26840129536.597248,147691708640.04126
2019-04-26,28648417656.982555,141816955363.90308
2019-04-27,23175273222.23926,142502407885.3659
2019-04-28,19803507212.1972,143086819907.70648
2019-04-29,20983556091.418552,142132542479.66638
2019-04-30,23544542292.51331,142546015152.49454
2019-05-01,22965116102.35894,144697719759.2619
2019-05-02,21187026100.558773,146661552867.0827
2019-05-03,26421152989.341583,151918113783.9636
2019-05-04,28114873029.234768,152929577974.76813
2019-05-05,25201578522.694603,152825205778.90598
2019-05-06,23571297775.147564,151781810347.796
2019-05-07,23497985259.75653,156729874020.51993
2019-05-08,19859839067.412163,155018056432.83606
2019-05-09,19245618896.554356,158189363925.48813
2019-05-10,22964700668.392574,162745404816.42996
2019-05-11,39029568016.81834,174960523440.61115
2019-05-12,51300726966.38566,182453086425.42233
2019-05-13,41896965924.4371,187462175377.30072
2019-05-14,50909314722.78236,203189276659.5948
2019-05-15,51820271347.70739,210533371428.79227
2019-05-16,59769219617.109634,214819477985.23907
2019-05-17,54398325568.15159,196040318417.306
2019-05-18,41825985017.01721,197072176458.4968
2019-05-19,37834115671.60132,210410719935.62045
2019-05-20,37700907509.3651,209954226611.18658
2019-05-21,34942003467.07127,211204835806.82962
2019-05-22,34298145356.52452,210603698405.92465
2019-05-23,36210898356.070366,204634246744.30258
2019-05-24,35253302396.98891,211492774827.75928
2019-05-25,36737711162.72846,213890098519.23135
2019-05-26,32236861408.070793,215884432333.102
2019-05-27,47171603960.92747,232690430544.01907
2019-05-28,47682863453.096146,233222260281.16772
2019-05-29,40658849173.53385,232125297602.47476
2019-05-30,44141895052.46131,233286499779.75552
2019-05-31,49975982979.53105,224684468736.3126
2019-06-01,42104569820.97353,230324357186.26672
2019-06-02,38444751412.59224,232757662271.76746
2019-06-03,36830886379.60774,230929967573.24667
2019-06-04,41848157904.0158,213493014984.47437
2019-06-05,38139132529.703156,209773306157.5171
2019-06-06,32819407656.19337,209534123207.76428
2019-06-07,35101855322.58795,214671902363.2514
2019-06-08,30805598330.423653,214979867579.03027
2019-06-09,28593986498.187397,211136077708.8889
2019-06-10,32164193925.267323,210369001420.138
2019-06-11,31636693831.057938,213045770613.5371
2019-06-12,31839077322.099636,217140181779.10965
2019-06-13,32616776558.71442,221722838987.56378
2019-06-14,32583744299.54054,223907265084.95734
2019-06-15,33135474556.438427,232193760997.00623
2019-06-16,35060411519.390785,240117792250.52338
2019-06-17,34863128118.45005,243139227697.4117
2019-06-18,36012533893.79724,241959601617.9831
2019-06-19,33962188698.180122,242325555963.4366
2019-06-20,32416967006.02134,246190270923.9494
2019-06-21,40205490442.760254,256619295233.5697
2019-06-22,52916606790.85126,276372038005.7091
