Date,Volume,MarketCap,symbol
2019-06-07,782683404.8215731,2232010934.5084705,TRON
2019-06-08,605896516.4238019,2210555024.953392,TRON
2019-06-09,581043131.7066965,2113737744.5590289,TRON
2019-06-10,688641500.0292134,2064172446.8401573,TRON
2019-06-11,671289825.5840795,2062578785.6379445,TRON
2019-06-12,677075644.8731352,2147494666.2895265,TRON
2019-06-13,660902349.3997161,2217750327.7640257,TRON
2019-06-14,596770722.9685436,2141482218.02885,TRON
2019-06-15,591569973.7276682,2170054168.9412093,TRON
2019-06-16,583019703.1750163,2207770813.9877043,TRON
2019-06-17,586439345.720706,2224446143.8069253,TRON
2019-06-18,588450069.4381061,2214535783.8392544,TRON
2019-06-19,559769913.8985677,2235940380.235273,TRON
2019-06-20,556263809.819171,2216056853.6900663,TRON
2019-06-21,570934824.7856548,2231855937.7265325,TRON
2019-06-22,750970731.9207617,2365699500.956587,TRON
2019-06-23,814339255.4539367,2487717039.190989,TRON
2019-06-24,856215223.0720702,2555367425.232926,TRON
2019-06-25,923297129.1018811,2584682351.860341,TRON
2019-06-26,1109782854.2654605,2580149337.606782,TRON
2019-06-27,1270212894.0588255,2314473504.208772,TRON
2019-06-28,1226616282.4133744,2209139319.116426,TRON
2019-06-29,1054172778.1312424,2275890823.5193944,TRON
2019-06-30,1014755364.8080444,2274463862.0166583,TRON
2019-07-01,983597961.5609682,2159293758.023969,TRON
2019-07-02,958621644.3196127,2111225918.0004237,TRON
2019-07-03,902070119.1178794,2145209219.1905048,TRON
2019-07-04,745419598.9909989,2147681021.1285334,TRON
2019-07-05,826814578.7030495,2118776826.094018,TRON
2019-07-06,783689621.8512635,2150544749.001607,TRON
2019-07-07,644178259.6602743,2196904855.3669777,TRON
2019-07-08,851067235.7728903,2288220526.7162952,TRON
2019-07-09,928755939.3432406,2281219605.127396,TRON
2019-07-10,855790693.1286556,2203300645.465724,TRON
2019-07-11,808980767.6952542,1923912328.7672985,TRON
2019-07-12,718116539.4165711,1910213831.883424,TRON
2019-07-13,649798516.8250867,1897970191.552028,TRON
2019-07-14,608027423.9384855,1833574307.9207947,TRON
2019-07-15,659240810.2871968,1670352397.7680051,TRON
2019-07-16,587758828.1629726,1594174320.4922075,TRON
2019-07-17,587986757.0599387,1468481928.392465,TRON
2019-07-18,659951795.30526,1609544584.111168,TRON
2019-07-19,661779113.5019742,1726545408.331993,TRON
2019-07-20,637784129.7631106,1916824807.2729504,TRON
2019-07-21,606996869.1896292,1908201601.2255943,TRON
2019-07-22,634830051.5073177,1920675458.076228,TRON
2019-07-23,789713174.3436446,1663541482.424529,TRON
2019-07-24,916758253.2325675,1563395680.8074448,TRON
2019-07-25,613287331.9217491,1558602189.1661758,TRON
2019-07-26,477247236.9538025,1521499068.301123,TRON
2019-07-27,465273835.46737474,1502758336.6475804,TRON
2019-07-28,424054495.71559536,1485522726.9454882,TRON
2019-07-29,407463423.7361227,1479636523.7395408,TRON
2019-07-30,399699190.1761732,1466968873.9359324,TRON
2019-07-31,447348370.02683866,1488465701.224544,TRON
2019-08-01,446216095.6406284,1471591922.4819655,TRON
2019-08-02,395763874.630111,1455856341.3116484,TRON
2019-08-03,422699603.7324801,1450386446.5708632,TRON
2019-08-04,418015057.7984674,1467652908.9415429,TRON
2019-08-05,455920709.8811618,1507617267.109311,TRON
2019-08-06,518737012.30069226,1488681472.8998368,TRON
2019-08-07,489640297.2200482,1452944300.9569876,TRON
2019-08-08,529289748.8469636,1459752900.4281583,TRON
2019-08-09,497736697.6736819,1406262099.343142,TRON
2019-08-10,494701750.5420261,1349545531.540309,TRON
2019-08-11,431189147.898133,1371419138.7802358,TRON
2019-08-12,411978395.1109791,1377897034.2856514,TRON
2019-08-13,338136724.75971067,1360916220.5764377,TRON
2019-08-14,370364355.9223144,1308087236.711453,TRON
2019-08-15,458389253.6918228,1155350611.7106166,TRON
2019-08-16,404824538.2884776,1132748038.005783,TRON
2019-08-17,310905503.28945947,1130716055.0099518,TRON
2019-08-18,291486282.7749822,1160760773.4774492,TRON
2019-08-19,317405012.59836257,1195508538.809019,TRON
2019-08-20,295767176.5849261,1174287207.8292716,TRON
2019-08-21,298983378.2463583,1127775359.6566193,TRON
2019-08-22,333765460.8518597,1153229374.642469,TRON
2019-08-23,339961987.65649104,1197478309.9499822,TRON
2019-08-24,320731153.18289715,1183492198.0305204,TRON
2019-08-25,317650122.63070774,1189782949.1685026,TRON
2019-08-26,342735480.8037708,1184085259.4391873,TRON
2019-08-27,294652546.78093183,1172964052.5901325,TRON
2019-08-28,314830763.6888361,1139076575.6115332,TRON
2019-08-29,360127478.75614965,1032566781.013124,TRON
2019-08-30,296619240.5129535,1036224545.9751546,TRON
2019-08-31,292634231.1469162,1033145471.9201711,TRON
2019-09-01,289569722.7864866,1031980607.1637208,TRON
2019-09-02,280089416.85394406,1035807182.110469,TRON
2019-09-03,336815804.82652044,1057444965.547156,TRON
2019-09-04,299459833.2474586,1042474125.6214682,TRON
2019-09-05,289623637.2765081,1015326051.963574,TRON
2019-09-06,314507236.22745824,981554748.5678816,TRON
2019-09-07,308294124.040234,974179100.6886408,TRON
2019-09-08,376373088.7901455,1040289751.175775,TRON
2019-09-09,414277223.0573028,1043176259.84409,TRON
2019-09-10,483077709.7837472,1051393660.0289564,TRON
2019-09-11,354991747.0483217,1012845961.007047,TRON
2019-09-12,389628661.0354177,986559712.154555,TRON
2019-09-13,388022661.2408617,998888004.602459,TRON
2019-09-14,438833317.09534967,1033979544.510116,TRON
2019-09-15,476297817.5912693,1046631677.2386534,TRON
2019-09-16,420087085.230941,1037959380.3358943,TRON
2019-09-17,496063628.8544554,1086315688.281364,TRON
2019-09-18,711504542.5157454,1178656465.3218298,TRON
2019-09-19,721385901.6639371,1142777892.7611396,TRON
2019-09-20,585811478.1839269,1154357366.861985,TRON
2019-09-21,532350501.86920166,1172060439.1491551,TRON
2019-09-22,616532363.589319,1161278212.066382,TRON
2019-09-23,539736217.0503688,1111233965.496396,TRON
2019-09-24,547736487.3618969,1012295088.681247,TRON
2019-09-25,585240443.9551846,863158189.3822312,TRON
2019-09-26,432076963.0166848,864389868.8689008,TRON
2019-09-27,600721718.4558579,877171494.4195603,TRON
2019-09-28,331669812.29310995,903314821.480649,TRON
2019-09-29,305059071.8056927,884223786.0805497,TRON
2019-09-30,356699468.94156665,918474229.516502,TRON
2019-10-01,428992601.8643973,951500906.068487,TRON
2019-10-02,373698284.1875796,936725171.0628692,TRON
2019-10-03,315736497.5444198,947551772.128642,TRON
2019-10-04,323535704.0943704,959416433.0523818,TRON
2019-10-05,338073010.74427086,978062480.159248,TRON
2019-10-06,408314241.1914949,991521444.1784267,TRON
2019-10-07,506722161.5937852,1034186772.6570046,TRON
2019-10-08,572951750.7216474,1092257144.1801734,TRON
2019-10-09,604819893.4157195,1123754690.9140947,TRON
2019-10-10,550164337.4744706,1093286581.5306728,TRON
2019-10-11,446613429.6722848,1065574338.1427242,TRON
2019-10-12,375182082.2599171,1060796420.1854544,TRON
2019-10-13,354217934.21535355,1068118787.1723655,TRON
2019-10-14,404965197.7058931,1100519909.5133903,TRON
2019-10-15,411059725.759249,1083080966.98821,TRON
2019-10-16,430412791.90846014,1022733491.6989146,TRON
2019-10-17,440817674.0452421,1008756904.760294,TRON
2019-10-18,413814789.2066042,1008012557.8331962,TRON
2019-10-19,425655073.692491,1034416122.2483808,TRON
2019-10-20,379125215.5064168,1022585000.0648844,TRON
2019-10-21,329311179.1500025,1030727965.9933376,TRON
2019-10-22,350400080.72974527,1029940293.479746,TRON
2019-10-23,332098788.2407668,974771164.1636318,TRON
